wjc 8,7,5,4,6,3,11,9,1,12,2,10
zxq 8,4,7,3,6,12,2,11,10,5,9,1
jch 5,1,9,6,8,7,10,3,2,4,11,12
zzg 8,5,3,6,4,7,10,2,9,12,1,11
xm  10,9,5,6,7,8,3,4,1,11,2,12
cws 9,8,5,3,7,4,12,10,11,6,2,1
dyy 5,6,10,8,7,3,4,1,2,9,11,12
xj  8,7,6,11,10,12,5,3,1,2,4,9
tq  8,5,2,4,6,11,10,3,12,1,9,7
zyt 7,6,8,3,4,11,2,5,12,1,10,9
dgy 5,6,7,10,9,8,3,4,2,1,11,12
hxt 5,6,8,7,10,12,11,3,9,2,4,1
mxn 7,2,1,3,8,6,5,9,4,12,11,10
ll  8,7,3,6,4,12,5,9,1,2,11,10
